Symbol,Name,Sector
MSFT,Microsoft,Information Technology
AAPL,Apple,Information Technology
AMZN,Amazon,Consumer Discretionary
TSLA,Tesla,Consumer Discretionary
GOOGL,Alphabet(Class A),Communication Services
FB,Meta Platforms,Communication Services
NVDA,Nvidia,Information Technology
JPM,JPMorgan Chase,Financials
V,Visa,Financials
HD,Home Depot,Consumer Discretionary
JNJ,Johnson & Johnson,Health Care
UNH,UnitedHealth,Health Care
PG,Procter & Gamble,Consumer Staples
BAC,Bank of America,Financials
ADBE,Adobe,Information Technology
NFLX,Netflix,Communication Services
CRM,Salesforce,Information Technology
PFE,Pfizer,Health Care
DIS,Disney,Communication Services
MA,Mastercard,Financials
XOM,ExxonMobil,Energy
TMO,Thermo Fisher Scientific,Health Care
COST,Costco,Consumer Staples















